"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request of user on the petstore application","check user added into petstores and verify status code","SUCCESS","2023-01-10T23:08:08.004Z[Europe/London]","0.0","0.6"
"Testing different request of user on the petstore application","get  single pet data using by id","SUCCESS","2023-01-10T23:08:08.702Z[Europe/London]","0.0","0.52"
"Testing different request of user on the petstore application","update pet with name","SUCCESS","2023-01-10T23:08:09.294Z[Europe/London]","0.0","1.02"
"Testing different request of user on the petstore application","Delete pet with using id and vberify","SUCCESS","2023-01-10T23:08:10.391Z[Europe/London]","0.0","0.57"
