"Story","Title","Result","Date","Stability","Duration (s)"
"Tag with user runner","Provide 200 code when post data","SUCCESS","2023-01-10T23:08:19.615Z[Europe/London]","0.0","0.57"
"Tag with user runner","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T23:08:20.187Z[Europe/London]","0.0","0.49"
"Tag with user runner","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T23:08:20.677Z[Europe/London]","0.0","0.49"
